Worker_ID,Total_Duration,Session_Count,Last_Activity
0,00:04:06,2,2025-07-29 15:21:38
1,00:04:00,3,2025-07-29 15:23:22
2,00:02:59,11,2025-07-29 15:23:13
3,00:00:00,0,N/A
4,00:04:02,2,2025-07-29 15:21:42
5,00:00:00,0,N/A
6,00:04:02,2,2025-07-29 15:21:42
7,00:04:02,2,2025-07-29 15:21:43
8,00:02:58,20,2025-07-29 15:25:27
9,00:00:00,0,N/A
10,00:00:00,0,N/A
11,00:03:51,2,2025-07-29 15:21:54
12,00:00:00,0,N/A
13,00:03:33,2,2025-07-29 15:22:11
14,00:00:00,0,N/A
15,00:00:00,0,N/A
16,00:00:00,0,N/A
17,00:00:00,0,N/A
18,00:00:00,0,N/A
19,00:03:05,2,2025-07-29 15:22:40
20,00:03:01,2,2025-07-29 15:22:44
21,00:00:00,0,N/A
22,00:02:45,2,2025-07-29 15:22:59
23,00:02:45,2,2025-07-29 15:23:00
24,00:02:44,2,2025-07-29 15:23:00
25,00:02:40,2,2025-07-29 15:23:04
26,00:02:41,2,2025-07-29 15:23:03
27,00:02:24,2,2025-07-29 15:23:20
28,00:02:25,2,2025-07-29 15:23:19
29,00:00:00,0,N/A
30,00:02:25,2,2025-07-29 15:23:19
31,00:00:00,0,N/A
32,00:02:23,2,2025-07-29 15:23:21
33,00:02:17,2,2025-07-29 15:23:27
34,00:02:17,2,2025-07-29 15:23:28
35,00:02:16,2,2025-07-29 15:23:28
36,00:02:14,2,2025-07-29 15:23:31
37,00:00:00,0,N/A
38,00:00:00,0,N/A
39,00:02:08,2,2025-07-29 15:23:37
40,00:01:30,7,2025-07-29 15:25:08
41,00:00:00,0,N/A
42,00:02:00,2,2025-07-29 15:23:44
43,00:01:56,2,2025-07-29 15:23:48
44,00:00:00,0,N/A
45,00:00:00,0,N/A
46,00:00:00,0,N/A
47,00:01:28,2,2025-07-29 15:24:17
48,00:00:00,0,N/A
49,00:01:11,2,2025-07-29 15:24:33
50,00:01:12,2,2025-07-29 15:24:33
51,00:01:11,2,2025-07-29 15:24:33
52,00:01:10,2,2025-07-29 15:24:34
53,00:01:06,2,2025-07-29 15:24:38
54,00:01:00,2,2025-07-29 15:24:44
55,00:00:00,0,N/A
56,00:00:53,2,2025-07-29 15:24:51
57,00:00:00,0,N/A
58,00:00:52,2,2025-07-29 15:24:52
59,00:00:52,2,2025-07-29 15:24:53
60,00:00:51,2,2025-07-29 15:24:53
61,00:00:00,0,N/A
62,00:00:00,0,N/A
63,00:00:12,2,2025-07-29 15:25:32
64,00:00:15,2,2025-07-29 15:25:30
65,00:00:11,2,2025-07-29 15:25:34
66,00:00:00,0,N/A
